CustomerName,CustomerID.1,Region,SignupDate,TransactionID,TransactionDate,ProductID,ProductName,Category,Price,TotalValue
David Li,C0008,North America,2024-01-13,T00730,2024-01-22 19:40:43,P094,HomeSense Cookware Set,Home Decor,447.34,894.68
David Li,C0008,North America,2024-01-13,T00557,2024-03-11 03:22:29,P026,SoundWave Bluetooth Speaker,Electronics,64.38,128.76
David Li,C0008,North America,2024-01-13,T00815,2024-03-26 20:30:49,P031,SoundWave Headphones,Electronics,196.4,392.8
David Li,C0008,North America,2024-01-13,T00644,2024-06-13 09:13:19,P095,BookWorld Cookware Set,Home Decor,227.26,227.26
David Li,C0008,North America,2024-01-13,T00425,2024-08-01 14:20:03,P068,TechPro Novel,Books,447.23,447.23
David Li,C0008,North America,2024-01-13,T00860,2024-08-22 03:25:32,P004,BookWorld Rug,Home Decor,95.69,191.38
David Li,C0008,North America,2024-01-13,T00101,2024-09-16 22:10:13,P052,SoundWave Jacket,Clothing,354.81,1419.24
David Li,C0008,North America,2024-01-13,T00536,2024-09-22 06:13:59,P067,ComfortLiving Bluetooth Speaker,Electronics,300.68,300.68
David Li,C0008,North America,2024-01-13,T00863,2024-11-08 20:46:29,P038,TechPro Vase,Home Decor,147.22,147.22
David Li,C0008,North America,2024-01-13,T00329,2024-12-17 04:05:00,P035,ActiveWear T-Shirt,Clothing,30.59,122.36
Tina Duran,C0015,North America,2023-11-20,T00987,2024-02-10 12:35:35,P032,BookWorld Cookbook,Books,488.63,488.63
Tina Duran,C0015,North America,2023-11-20,T00798,2024-09-21 01:39:03,P091,HomeSense Rug,Home Decor,222.95,668.85
Emily Woods,C0016,North America,2024-01-03,T00472,2024-07-02 06:30:26,P039,TechPro Smartwatch,Electronics,430.59,430.59
Emily Woods,C0016,North America,2024-01-03,T00632,2024-07-11 12:42:08,P083,ActiveWear Smartwatch,Electronics,455.72,455.72
Emily Woods,C0016,North America,2024-01-03,T00722,2024-07-31 05:19:54,P018,ComfortLiving Mystery Book,Books,436.89,1747.56
Emily Woods,C0016,North America,2024-01-03,T00700,2024-08-15 10:18:31,P016,ActiveWear Running Shoes,Clothing,330.05,330.05
Emily Woods,C0016,North America,2024-01-03,T00827,2024-11-10 18:24:04,P080,ActiveWear Jacket,Clothing,303.5,910.5
Tyler Haynes,C0018,North America,2024-09-21,T00275,2024-02-17 18:50:52,P027,SoundWave Headphones,Electronics,229.06,916.24
Tyler Haynes,C0018,North America,2024-09-21,T00551,2024-02-23 13:28:08,P049,TechPro Textbook,Books,147.95,443.85
Tyler Haynes,C0018,North America,2024-09-21,T00840,2024-03-28 17:43:38,P061,HomeSense Desk Lamp,Home Decor,156.96,470.88
Tyler Haynes,C0018,North America,2024-09-21,T00922,2024-04-05 13:05:32,P037,SoundWave Smartwatch,Electronics,459.86,1839.44
Tyler Haynes,C0018,North America,2024-09-21,T00647,2024-08-03 19:15:23,P030,ActiveWear Cookbook,Books,277.86,1111.44
Mr. Manuel Conway,C0020,North America,2024-06-11,T00350,2024-01-30 00:57:29,P096,SoundWave Headphones,Electronics,307.47,922.41
Michele Cooley,C0024,North America,2024-02-05,T00999,2024-02-24 12:09:53,P064,HomeSense Running Shoes,Clothing,452.42,452.42
Michele Cooley,C0024,North America,2024-02-05,T00674,2024-04-14 01:19:59,P059,SoundWave Jeans,Clothing,303.2,909.6
Michele Cooley,C0024,North America,2024-02-05,T00992,2024-04-21 10:52:24,P037,SoundWave Smartwatch,Electronics,459.86,459.86
Michele Cooley,C0024,North America,2024-02-05,T00602,2024-04-26 11:26:53,P053,TechPro Rug,Home Decor,274.94,274.94
