CustomerName,CustomerID.1,Region,SignupDate,TransactionID,TransactionDate,ProductID,ProductName,Category,Price,TotalValue
Lawrence Carroll,C0001,South America,2022-07-10,T00015,2024-01-19 03:12:55,P054,SoundWave Cookbook,Books,57.3,114.6
Lawrence Carroll,C0001,South America,2022-07-10,T00085,2024-04-08 00:01:00,P096,SoundWave Headphones,Electronics,307.47,614.94
Lawrence Carroll,C0001,South America,2022-07-10,T00445,2024-05-07 03:11:44,P083,ActiveWear Smartwatch,Electronics,455.72,911.44
Lawrence Carroll,C0001,South America,2022-07-10,T00932,2024-09-17 09:01:18,P022,HomeSense Wall Art,Home Decor,137.54,412.62
Lawrence Carroll,C0001,South America,2022-07-10,T00436,2024-11-02 17:04:16,P029,TechPro Headphones,Electronics,433.64,1300.92
Michael Rivera,C0003,South America,2024-03-07,T00812,2024-02-18 02:50:37,P035,ActiveWear T-Shirt,Clothing,30.59,122.36
Michael Rivera,C0003,South America,2024-03-07,T00462,2024-06-03 19:17:36,P025,ActiveWear Cookware Set,Home Decor,284.62,853.86
Michael Rivera,C0003,South America,2024-03-07,T00143,2024-06-16 05:24:04,P006,ActiveWear Rug,Home Decor,121.32,363.96
Michael Rivera,C0003,South America,2024-03-07,T00648,2024-08-24 18:54:04,P002,ActiveWear Smartwatch,Electronics,346.3,1385.2
Kathleen Rodriguez,C0004,South America,2022-10-09,T01000,2024-02-28 10:16:35,P008,BookWorld Bluetooth Speaker,Electronics,146.85,293.7
Kathleen Rodriguez,C0004,South America,2022-10-09,T00744,2024-03-11 09:25:22,P053,TechPro Rug,Home Decor,274.94,1099.76
Kathleen Rodriguez,C0004,South America,2022-10-09,T00534,2024-06-25 22:10:47,P097,BookWorld Cookbook,Books,319.34,958.02
Kathleen Rodriguez,C0004,South America,2022-10-09,T00004,2024-07-19 10:56:13,P049,TechPro Textbook,Books,147.95,591.8
Kathleen Rodriguez,C0004,South America,2022-10-09,T00251,2024-08-03 06:21:11,P038,TechPro Vase,Home Decor,147.22,441.66
Kathleen Rodriguez,C0004,South America,2022-10-09,T00847,2024-10-24 16:28:30,P024,SoundWave Cookbook,Books,338.66,338.66
Kathleen Rodriguez,C0004,South America,2022-10-09,T00456,2024-12-12 03:38:36,P025,ActiveWear Cookware Set,Home Decor,284.62,569.24
Kathleen Rodriguez,C0004,South America,2022-10-09,T00379,2024-12-23 14:13:52,P077,ActiveWear Smartwatch,Electronics,265.51,1062.04
Brittany Palmer,C0006,South America,2024-01-07,T00259,2024-01-25 09:29:44,P020,ActiveWear Jacket,Clothing,396.34,1585.36
Brittany Palmer,C0006,South America,2024-01-07,T00019,2024-06-05 01:19:28,P040,SoundWave Mystery Book,Books,153.19,306.38
Brittany Palmer,C0006,South America,2024-01-07,T00024,2024-06-13 10:35:07,P084,ActiveWear Wall Art,Home Decor,337.91,1013.73
Brittany Palmer,C0006,South America,2024-01-07,T00813,2024-10-07 04:07:35,P086,SoundWave Novel,Books,440.7,1322.1
Bryan Mathews,C0011,South America,2022-12-12,T00769,2024-02-06 14:46:43,P046,BookWorld Sweater,Clothing,366.07,1464.28
Bryan Mathews,C0011,South America,2022-12-12,T00078,2024-03-23 02:59:36,P089,HomeSense Bluetooth Speaker,Electronics,220.91,662.73
Bryan Mathews,C0011,South America,2022-12-12,T00822,2024-05-08 18:21:34,P055,BookWorld Biography,Books,128.53,385.59
Bryan Mathews,C0011,South America,2022-12-12,T00604,2024-08-10 15:04:27,P030,ActiveWear Cookbook,Books,277.86,277.86
Bryan Mathews,C0011,South America,2022-12-12,T00341,2024-12-26 03:09:48,P017,ActiveWear Textbook,Books,469.77,939.54
Kevin May,C0012,South America,2024-08-07,T00686,2024-05-12 12:53:40,P003,ComfortLiving Biography,Books,44.12,176.48
Kevin May,C0012,South America,2024-08-07,T00158,2024-05-30 03:34:49,P023,ActiveWear Cookware Set,Home Decor,454.53,909.06
Kevin May,C0012,South America,2024-08-07,T00023,2024-06-18 10:55:39,P061,HomeSense Desk Lamp,Home Decor,156.96,627.84
Kevin May,C0012,South America,2024-08-07,T00094,2024-07-14 19:37:54,P041,ComfortLiving Smartphone,Electronics,456.28,1825.12
Kevin May,C0012,South America,2024-08-07,T00353,2024-10-22 21:55:48,P063,TechPro Novel,Books,33.59,33.59
Kevin May,C0012,South America,2024-08-07,T00721,2024-12-08 09:46:41,P023,ActiveWear Cookware Set,Home Decor,454.53,1363.59
Kevin May,C0012,South America,2024-08-07,T00537,2024-12-25 08:03:34,P074,SoundWave Desk Lamp,Home Decor,295.58,295.58
Lauren Buchanan,C0013,South America,2024-05-19,T00484,2024-02-24 20:08:07,P042,ActiveWear Headphones,Electronics,379.44,758.88
Lauren Buchanan,C0013,South America,2024-05-19,T00399,2024-03-28 19:16:21,P056,SoundWave Smartwatch,Electronics,16.08,48.24
Lauren Buchanan,C0013,South America,2024-05-19,T00627,2024-05-06 23:15:01,P020,ActiveWear Jacket,Clothing,396.34,1585.36
Lauren Buchanan,C0013,South America,2024-05-19,T00503,2024-07-26 00:21:59,P017,ActiveWear Textbook,Books,469.77,1879.08
Lauren Buchanan,C0013,South America,2024-05-19,T00599,2024-08-15 20:46:42,P015,HomeSense Headphones,Electronics,158.93,158.93
Lauren Buchanan,C0013,South America,2024-05-19,T00671,2024-08-23 09:19:16,P064,HomeSense Running Shoes,Clothing,452.42,452.42
Lauren Buchanan,C0013,South America,2024-05-19,T00659,2024-11-03 05:30:39,P036,BookWorld Jacket,Clothing,372.55,1117.65
Gregory Odom,C0025,South America,2022-07-04,T00765,2024-01-31 19:48:04,P035,ActiveWear T-Shirt,Clothing,30.59,30.59
Gregory Odom,C0025,South America,2022-07-04,T00434,2024-05-09 03:14:51,P038,TechPro Vase,Home Decor,147.22,588.88
Gregory Odom,C0025,South America,2022-07-04,T00608,2024-06-13 22:53:33,P048,TechPro Cookbook,Books,416.4,832.8
Gregory Odom,C0025,South America,2022-07-04,T00509,2024-08-13 22:51:21,P022,HomeSense Wall Art,Home Decor,137.54,137.54
Tina Miller,C0031,South America,2024-04-11,T00510,2024-03-06 01:55:48,P033,TechPro T-Shirt,Clothing,64.25,257.0
Tina Miller,C0031,South America,2024-04-11,T00238,2024-08-11 00:11:15,P091,HomeSense Rug,Home Decor,222.95,445.9
Tina Miller,C0031,South America,2024-04-11,T00630,2024-10-08 23:58:14,P093,TechPro Vase,Home Decor,304.94,609.88
Tina Miller,C0031,South America,2024-04-11,T00402,2024-11-24 17:22:38,P002,ActiveWear Smartwatch,Electronics,346.3,692.6
