,CustomerName,CustomerID.1,Region,SignupDate,TransactionID,TransactionDate,ProductID,ProductName,Category,Price,TotalValue
135,Lawrence Carroll,C0001,South America,2022-07-10,T00015,2024-01-19 03:12:55,P054,SoundWave Cookbook,Books,57.3,114.6
546,Lawrence Carroll,C0001,South America,2022-07-10,T00085,2024-04-08 00:01:00,P096,SoundWave Headphones,Electronics,307.47,614.94
724,Lawrence Carroll,C0001,South America,2022-07-10,T00445,2024-05-07 03:11:44,P083,ActiveWear Smartwatch,Electronics,455.72,911.44
442,Lawrence Carroll,C0001,South America,2022-07-10,T00932,2024-09-17 09:01:18,P022,HomeSense Wall Art,Home Decor,137.54,412.62
776,Lawrence Carroll,C0001,South America,2022-07-10,T00436,2024-11-02 17:04:16,P029,TechPro Headphones,Electronics,433.64,1300.92
811,Elizabeth Lutz,C0002,Asia,2022-02-13,T00148,2024-02-28 07:44:21,P019,ComfortLiving Sweater,Clothing,385.37,770.74
764,Elizabeth Lutz,C0002,Asia,2022-02-13,T00129,2024-06-11 23:59:08,P004,BookWorld Rug,Home Decor,95.69,382.76
96,Elizabeth Lutz,C0002,Asia,2022-02-13,T00155,2024-07-12 10:18:13,P095,BookWorld Cookware Set,Home Decor,227.26,454.52
953,Elizabeth Lutz,C0002,Asia,2022-02-13,T00675,2024-12-03 01:41:41,P071,TechPro T-Shirt,Clothing,127.36,254.72
750,Michael Rivera,C0003,South America,2024-03-07,T00812,2024-02-18 02:50:37,P035,ActiveWear T-Shirt,Clothing,30.59,122.36
373,Michael Rivera,C0003,South America,2024-03-07,T00462,2024-06-03 19:17:36,P025,ActiveWear Cookware Set,Home Decor,284.62,853.86
672,Michael Rivera,C0003,South America,2024-03-07,T00143,2024-06-16 05:24:04,P006,ActiveWear Rug,Home Decor,121.32,363.96
842,Michael Rivera,C0003,South America,2024-03-07,T00648,2024-08-24 18:54:04,P002,ActiveWear Smartwatch,Electronics,346.3,1385.2
941,Kathleen Rodriguez,C0004,South America,2022-10-09,T01000,2024-02-28 10:16:35,P008,BookWorld Bluetooth Speaker,Electronics,146.85,293.7
71,Kathleen Rodriguez,C0004,South America,2022-10-09,T00744,2024-03-11 09:25:22,P053,TechPro Rug,Home Decor,274.94,1099.76
795,Kathleen Rodriguez,C0004,South America,2022-10-09,T00534,2024-06-25 22:10:47,P097,BookWorld Cookbook,Books,319.34,958.02
37,Kathleen Rodriguez,C0004,South America,2022-10-09,T00004,2024-07-19 10:56:13,P049,TechPro Textbook,Books,147.95,591.8
191,Kathleen Rodriguez,C0004,South America,2022-10-09,T00251,2024-08-03 06:21:11,P038,TechPro Vase,Home Decor,147.22,441.66
931,Kathleen Rodriguez,C0004,South America,2022-10-09,T00847,2024-10-24 16:28:30,P024,SoundWave Cookbook,Books,338.66,338.66
372,Kathleen Rodriguez,C0004,South America,2022-10-09,T00456,2024-12-12 03:38:36,P025,ActiveWear Cookware Set,Home Decor,284.62,569.24
987,Kathleen Rodriguez,C0004,South America,2022-10-09,T00379,2024-12-23 14:13:52,P077,ActiveWear Smartwatch,Electronics,265.51,1062.04
412,Laura Weber,C0005,Asia,2022-08-15,T00348,2024-03-15 04:08:59,P039,TechPro Smartwatch,Electronics,430.59,861.18
371,Laura Weber,C0005,Asia,2022-08-15,T00331,2024-05-05 13:03:41,P025,ActiveWear Cookware Set,Home Decor,284.62,853.86
866,Laura Weber,C0005,Asia,2022-08-15,T00789,2024-11-04 00:30:22,P012,ComfortLiving Headphones,Electronics,159.6,319.2
824,Brittany Palmer,C0006,South America,2024-01-07,T00259,2024-01-25 09:29:44,P020,ActiveWear Jacket,Clothing,396.34,1585.36
168,Brittany Palmer,C0006,South America,2024-01-07,T00019,2024-06-05 01:19:28,P040,SoundWave Mystery Book,Books,153.19,306.38
226,Brittany Palmer,C0006,South America,2024-01-07,T00024,2024-06-13 10:35:07,P084,ActiveWear Wall Art,Home Decor,337.91,1013.73
268,Brittany Palmer,C0006,South America,2024-01-07,T00813,2024-10-07 04:07:35,P086,SoundWave Novel,Books,440.7,1322.1
352,Paul Graves,C0007,Asia,2022-06-18,T00718,2024-02-20 09:22:52,P050,ActiveWear Smartwatch,Electronics,437.65,437.65
653,Paul Graves,C0007,Asia,2022-06-18,T00211,2024-03-29 14:35:12,P093,TechPro Vase,Home Decor,304.94,1219.76
552,Paul Graves,C0007,Asia,2022-06-18,T00645,2024-08-25 08:05:44,P096,SoundWave Headphones,Electronics,307.47,922.41
905,David Li,C0008,North America,2024-01-13,T00730,2024-01-22 19:40:43,P094,HomeSense Cookware Set,Home Decor,447.34,894.68
967,David Li,C0008,North America,2024-01-13,T00557,2024-03-11 03:22:29,P026,SoundWave Bluetooth Speaker,Electronics,64.38,128.76
482,David Li,C0008,North America,2024-01-13,T00815,2024-03-26 20:30:49,P031,SoundWave Headphones,Electronics,196.4,392.8
97,David Li,C0008,North America,2024-01-13,T00644,2024-06-13 09:13:19,P095,BookWorld Cookware Set,Home Decor,227.26,227.26
287,David Li,C0008,North America,2024-01-13,T00425,2024-08-01 14:20:03,P068,TechPro Novel,Books,447.23,447.23
769,David Li,C0008,North America,2024-01-13,T00860,2024-08-22 03:25:32,P004,BookWorld Rug,Home Decor,95.69,191.38
586,David Li,C0008,North America,2024-01-13,T00101,2024-09-16 22:10:13,P052,SoundWave Jacket,Clothing,354.81,1419.24
7,David Li,C0008,North America,2024-01-13,T00536,2024-09-22 06:13:59,P067,ComfortLiving Bluetooth Speaker,Electronics,300.68,300.68
200,David Li,C0008,North America,2024-01-13,T00863,2024-11-08 20:46:29,P038,TechPro Vase,Home Decor,147.22,147.22
744,David Li,C0008,North America,2024-01-13,T00329,2024-12-17 04:05:00,P035,ActiveWear T-Shirt,Clothing,30.59,122.36
132,Joy Clark,C0009,Europe,2023-08-14,T00452,2024-03-16 17:26:03,P060,HomeSense T-Shirt,Clothing,155.65,155.65
355,Joy Clark,C0009,Europe,2023-08-14,T00902,2024-10-12 04:57:16,P050,ActiveWear Smartwatch,Electronics,437.65,437.65
461,Joy Clark,C0009,Europe,2023-08-14,T00062,2024-10-12 06:41:00,P059,SoundWave Jeans,Clothing,303.2,303.2
